iter	Passed	Remaining
447	1121	1381
448	1123	1378
449	1125	1375
450	1126	1371
451	1130	1371
452	1135	1371
453	1137	1368
454	1139	1364
455	1140	1361
456	1145	1360
457	1147	1357
458	1151	1356
459	1154	1355
460	1156	1351
461	1157	1348
462	1159	1345
463	1161	1341
464	1163	1338
465	1165	1336
466	1167	1332
467	1169	1329
468	1170	1325
469	1173	1323
470	1175	1320
471	1177	1316
472	1179	1313
473	1181	1311
474	1183	1307
475	1184	1304
476	1186	1301
477	1188	1298
478	1190	1295
479	1192	1291
480	1196	1291
481	1198	1288
482	1200	1284
483	1202	1281
484	1203	1278
485	1205	1274
486	1212	1276
487	1214	1273
488	1217	1271
489	1219	1269
490	1221	1265
491	1222	1262
492	1229	1264
493	1231	1261
494	1233	1258
495	1235	1255
496	1237	1252
497	1239	1249
498	1243	1248
499	1245	1245
500	1246	1242
501	1248	1238
502	1250	1235
503	1252	1232
504	1254	1229
505	1258	1228
506	1260	1225
507	1262	1222
508	1264	1219
509	1266	1216
510	1267	1213
511	1269	1209
512	1275	1210
513	1277	1207
514	1279	1204
515	1280	1201
516	1282	1197
517	1283	1194
518	1285	1191
519	1287	1188
520	1288	1185
521	1290	1181
522	1291	1178
523	1296	1177
524	1298	1174
525	1302	1173
526	1304	1170
527	1305	1167
528	1308	1164
529	1310	1161
530	1312	1158
531	1313	1155
532	1315	1153
533	1317	1150
534	1320	1147
535	1322	1144
536	1326	1143
537	1328	1140
538	1330	1138
539	1332	1135
540	1334	1132
541	1336	1129
542	1338	1126
543	1340	1123
544	1345	1123
545	1347	1120
546	1349	1117
547	1351	1114
548	1353	1111
549	1355	1109
550	1357	1106
551	1359	1103
552	1360	1100
553	1362	1096
554	1364	1093
555	1365	1090
556	1368	1088
557	1370	1085
558	1372	1082
559	1380	1084
560	1382	1081
561	1384	1078
562	1385	1075
563	1387	1072
564	1388	1069
565	1390	1065
566	1392	1063
567	1394	1060
568	1395	1057
569	1399	1055
570	1400	1052
571	1402	1049
572	1403	1045
573	1405	1042
574	1406	1039
575	1408	1036
576	1410	1033
577	1411	1030
578	1415	1029
579	1417	1026
580	1418	1023
581	1420	1020
582	1422	1017
583	1424	1014
584	1425	1011
585	1427	1008
586	1430	1006
587	1432	1003
588	1433	1000
589	1435	997
590	1436	994
591	1438	991
592	1439	988
593	1441	985
594	1443	982
595	1445	980
596	1447	977
597	1449	974
598	1450	971
599	1452	968
600	1453	965
601	1455	962
602	1456	958
603	1458	956
604	1460	953
605	1462	950
606	1463	947
607	1465	944
608	1467	941
609	1468	938
610	1470	936
611	1474	934
612	1476	932
613	1478	929
614	1479	926
615	1481	923
616	1482	920
617	1484	917
618	1490	917
619	1492	914
620	1494	912
621	1496	909
622	1497	906
623	1499	903
624	1501	900
625	1505	899
626	1506	896
627	1508	893
628	1510	890
629	1512	888
630	1514	885
631	1516	882
632	1519	880
633	1521	878
634	1522	875
635	1524	872
636	1526	869
637	1528	867
638	1530	864
639	1531	861
640	1533	859
641	1535	856
642	1536	853
643	1538	850
644	1540	847
645	1541	844
646	1543	842
647	1545	839
648	1546	836
649	1552	835
650	1554	833
651	1556	830
652	1557	827
653	1558	824
654	1561	822
655	1567	822
656	1569	819
657	1571	816
658	1573	814
659	1575	811
660	1577	809
661	1582	808
662	1584	805
663	1586	802
664	1588	800
665	1590	797
666	1592	794
667	1599	794
668	1604	793
669	1606	791
670	1607	788
671	1609	785
672	1613	783
673	1615	781
674	1616	778
675	1628	780
676	1629	777
677	1631	774
678	1632	771
679	1634	769
680	1635	766
681	1637	763
682	1639	760
683	1642	759
684	1644	756
685	1646	753
686	1647	750
687	1650	748
688	1652	745
689	1654	743
690	1657	741
691	1659	738
692	1661	736
693	1663	733
694	1664	730
695	1666	727
696	1667	724
697	1668	721
698	1670	719
699	1675	717
700	1676	715
701	1678	712
702	1680	709
703	1681	707
704	1683	704
705	1684	701
706	1690	700
707	1692	698
708	1694	695
709	1696	693
710	1698	690
711	1700	687
712	1704	685
713	1705	683
714	1707	680
715	1709	678
716	1711	675
717	1713	672
718	1718	671
719	1721	669
720	1723	666
721	1725	664
722	1727	661
723	1729	659
724	1731	656
725	1733	654
726	1736	652
727	1738	649
728	1740	647
729	1742	644
730	1744	641
731	1746	639
732	1748	636
733	1751	634
734	1753	632
735	1755	629
736	1757	627
737	1758	624
738	1760	621
739	1762	619
740	1766	617
741	1767	614
742	1769	612
743	1771	609
744	1773	606
745	1774	604
746	1776	601
747	1777	598
748	1779	596
749	1781	593
750	1782	591
751	1784	588
752	1786	585
753	1788	583
754	1790	580
755	1791	578
756	1796	576
757	1797	573
758	1799	571
759	1801	568
760	1803	566
761	1805	563
